species,region,hemilineage,cell_type,known_nt_source,known_nt_evidence,known_nt_confidence,acetylcholine,glutamate,gaba,glycine,dopamine,serotonin,octopamine,tyramine,histamine,nitric_oxide
adult_drosophila_melanogaster,midbrain,ALad1,"(M_adPNm4,M_adPNm5)a","Tanaka et al., 2012","immuno, tract based",3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALad1,"(M_adPNm4,M_adPNm5)b","Tanaka et al., 2012","immuno, tract based",3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALad1,"(M_adPNm4,M_adPNm5)c","Tanaka et al., 2012","immuno, tract based",3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALad1,"(M_adPNm4,M_adPNm5)d","Tanaka et al., 2012","immuno, tract based",3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALl1_ventral,"(M_lPNm12,M_lPNm13)a","Tanaka et al., 2012","immuno, tract based",3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALl1_ventral,"(M_lPNm12,M_lPNm13)b","Tanaka et al., 2012","immuno, tract based",3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,5-HTPLP01,"Sitaraman et al., 2008",immuno,5,0,0,0,0,0,1,0,0,0,0
adult_drosophila_melanogaster,midbrain,DM4_dorsal,5-HTPMPD01,"Sitaraman et al., 2008",immuno,5,0,0,0,0,0,1,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,5-HTPMPV01,"Sitaraman et al., 2008",immuno,5,0,0,0,0,0,1,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,5-HTPMPV03,Pooryasin and Fiala 2015,immuno,5,0,0,0,0,0,1,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AC neuron,"Shih and Chiang et al., 2011",MCFO,1,0,0,0,0,0,1,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALv1,ALv1_23,Liang et al. 2013,immuno,5,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AN_LH_AVLP_1,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AN_multi_77,"Jones et al., 2022",immuno,5,1,0,0,0,0,-1,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AN_multi_79,Jones et al. 2023,"immuno, intersection",5,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AN_multi_80,Jones et al. 2023,"immuno, intersection",5,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AN_multi_81,Jones et al. 2023,"immuno, intersection",5,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,0,AN_multi_84,Jones et al. 2023,"immuno, intersection",5,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,SLPpl1,APDN3,"Sun et al., 2022",immuno,5,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,APL,"Aso et al., 2019",scRNA-seq,3,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,APL,Liu et al. 2009,immuno,5,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,SLPal2,aSP-g1,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,SLPal2,aSP-g2,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,aSP-g3A,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,SLPal2,aSP-g3B,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,LHl1,aSP8,"Wang et al., 2021",FISH,3,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,putative_primary,AstA1,Ni et al. 2019,RNAi,1,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,SLPal2,AVLP026,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,AOTUv4_dorsal,AVLP423,"Duan et al., 2023",immuno,5,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALv1,AVLP446,"Dolan et al., 2019",immuno,5,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,ALv1,AVLP447,"Dolan et al., 2019",immuno,5,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,PSa1,AVLP460,"Ito et al., 2013",immuno,5,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,PSa1,AVLP462a,"Ito et al., 2013",immuno,5,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,PSa1,AVLP462b,"Ito et al., 2013",immuno,5,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,VPNp&v1_posterior,AVLP560,"Dolan et al., 2019",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB1E1,Janelia,EASI-FISH,4,1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DM6__prim,CB.FB1H0,Janelia,EASI-FISH,4,0,0,0,0,1,-1,-1,-1,0,0
adult_drosophila_melanogaster,midbrain,LALv1_dorsal,CB.FB1I0,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E0,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E1,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E10,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E2,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E3,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E4,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,midbrain,DL1_dorsal,CB.FB2E5,Janelia,EASI-FISH,4,-1,1,-1,0,0,0,0,0,0,0
