species,region,cell_type,hemilineage,neurotransmitter_verified,neurotransmitter_verified_source,neurotransmitter_verified_evidence,neurotransmitter_verified_confidence,root_id,supervoxel_id,position
adult_drosophila_melanogaster,neck_connective,DNa08,WEDd1,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941470254400,76212443059295890,"121582, 92500, 2855"
adult_drosophila_melanogaster,neck_connective,DNa08,WEDd1,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941591448972,76071705570997894,"117273, 92500, 2865"
adult_drosophila_melanogaster,neck_connective,DNb01,putative_primary,glutamate,"Cheong et al., 2023",EASI-FISH,4,720575941688189935,76071705637907844,"117302, 92500, 3076"
adult_drosophila_melanogaster,neck_connective,DNb01,putative_primary,glutamate,"Cheong et al., 2023",EASI-FISH,4,720575941618895231,76142074315242148,"120322, 92500, 2897"
adult_drosophila_melanogaster,neck_connective,DNb01,putative_primary,glutamate,"Cheong et al., 2023",EASI-FISH,4,720575941688189935,76071705637907844,"117302,92500,3076"
adult_drosophila_melanogaster,neck_connective,DNb05,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941527162905,76282811736625832,"124485, 92500, 2753"
adult_drosophila_melanogaster,neck_connective,DNb05,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941447863316,76001336759819912,"115536, 92500, 2671"
adult_drosophila_melanogaster,neck_connective,DNb05,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941527162905,76282811736625832,"124485,92500,2753"
adult_drosophila_melanogaster,neck_connective,DNg30,putative_primary,acetylcholine-negative,Croset et al. 2018,scRNA-seq,3,720575941573658184,76001336759590165,"116432, 92500, 2591"
adult_drosophila_melanogaster,neck_connective,DNg30,putative_primary,acetylcholine-negative,Croset et al. 2018,scRNA-seq,3,720575941644756168,76282811736468132,"123723, 92500, 2702"
adult_drosophila_melanogaster,neck_connective,DNg30,putative_primary,serotonin,"Scheunemann et al., 2018",immuno,5,720575941573658184,76001336759590165,"116432, 92500, 2591"
adult_drosophila_melanogaster,neck_connective,DNg30,putative_primary,serotonin,"Scheunemann et al., 2018",immuno,5,720575941644756168,76282811736468132,"123723, 92500, 2702"
adult_drosophila_melanogaster,neck_connective,DNp02,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941503507435,76212442992446273,"121481,92500,2697"
adult_drosophila_melanogaster,neck_connective,DNp02,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941507073303,76071705503614820,"116852, 92500, 2565"
adult_drosophila_melanogaster,neck_connective,DNp02,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941507073303,75436256301191647,"99588,28878,1824"
adult_drosophila_melanogaster,neck_connective,DNp03,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941558607396,76212443059728779,"121809, 92500, 3006"
adult_drosophila_melanogaster,neck_connective,DNp03,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941539809997,76001336827147520,"116451, 92500, 2986"
adult_drosophila_melanogaster,neck_connective,DNp04,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941559874831,76142074248254953,"119091, 92500, 2693"
adult_drosophila_melanogaster,neck_connective,DNp04,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941466194454,76212442992455067,"120942, 92500, 2699"
adult_drosophila_melanogaster,neck_connective,DNp05,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4,720575941594823537,76212443126274899,"122701, 92500, 3074"
