species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)a",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)b",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)c",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)d",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_lPNm12,M_lPNm13)a",ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_lPNm12,M_lPNm13)b",ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,5-HTPLP01,putative_primary,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,midbrain,5-HTPMPD01,DM4_dorsal,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,midbrain,5-HTPMPV01,putative_primary,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,midbrain,5-HTPMPV03,putative_primary,serotonin,Pooryasin and Fiala 2015,immuno,5
adult_drosophila_melanogaster,midbrain,AC neuron,NA,serotonin,"Shih and Chiang et al., 2011",MCFO,1
adult_drosophila_melanogaster,midbrain,ALv1_23,ALv1,gaba,Liang et al. 2013,immuno,5
adult_drosophila_melanogaster,midbrain,AN_LH_AVLP_1,NA,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AN_multi_77,NA,acetylcholine,"Jones et al., 2022",immuno,5
adult_drosophila_melanogaster,midbrain,AN_multi_79,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AN_multi_80,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AN_multi_81,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AN_multi_84,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,APDN3,SLPpl1,glutamate,"Sun et al., 2022",immuno,5
adult_drosophila_melanogaster,midbrain,APL,putative_primary,gaba,Liu et al. 2009,immuno,5
adult_drosophila_melanogaster,midbrain,AVLP026,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP423,AOTUv4_dorsal,acetylcholine,"Duan et al., 2023",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP446,ALv1,gaba,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP447,ALv1,gaba,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP460,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP462a,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP462b,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP560,VPNp&v1_posterior,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,optic_lobes,C2,NA,gaba,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,C3,NA,"gaba, nitric oxide","Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,midbrain,CB.FB1E1,DL1_dorsal,"acetylcholine, glutamate",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB1H0,DM6__prim,dopamine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB1I0,LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E0,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E1,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E10,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E2,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E3,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E4,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E5,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E6,DL1_dorsal,glutamate,ASB,educated guess,0
adult_drosophila_melanogaster,midbrain,CB.FB2E8,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E9,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2G0,DM4_dorsal,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2H0,DM6__prim,dopamine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2I1,LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2I2,LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K0,CREa2_medial,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K0,CREa1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K1,CREa2_medial,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K1,CREa1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A10",DM6__prim,"dopamine, serotonin",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A2",DM6_dorso_medial,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A21",DM6__prim,"dopamine, tyramine","Hulse et al., 2020",immuno,5
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A21",DM6__prim,"dopamine, tyramine",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A3",NA,"acetylcholine, glutamate",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A9",DM6__prim,serotonin,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D0",AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D0",NA,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D1",AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D2",AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D3",AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D4",AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I0",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I1",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I2",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I3",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I5",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I6",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I7",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I8",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I9",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4L0",EBa1,gaba,"Ito et al., 2014",immuno,5
adult_drosophila_melanogaster,midbrain,"CB.FB3,4L1",EBa1,gaba,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5B0,DM6_dorso_medial,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5B1,DM6_dorso_medial,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5C0,SIPp1,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5D2,AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5D3,AOTUv4_ventral,glutamate,Janelia,EASI-FISH,4
