species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)a",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)a",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)b",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)b",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)c",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)c",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)d",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)d",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_lPNm12,M_lPNm13)a",ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_lPNm12,M_lPNm13)b",ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(PLP191,PLP192)a",VPNp1_medial,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(PLP191,PLP192)b",VPNp1_medial,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(PS082,PS084)a",AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(PS082,PS084)b",AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SLP402,SMP426)a",CLp1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SLP402,SMP426)b",CLp1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SLP402,SMP426)c",CLp1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SMP206,SLP327)a",VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SMP206,SLP327)b",VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,5-HTPMPD01,DM4_dorsal,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,midbrain,5-HTPMPV01,putative_primary,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,midbrain,5-HTPMPV03,putative_primary,serotonin,Pooryasin and Fiala 2015,immuno,5
adult_drosophila_melanogaster,midbrain,AC neuron,NA,serotonin,"Shih and Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,ALv1_23,ALv1,gaba,Liang et al. 2013,immuno,5
adult_drosophila_melanogaster,midbrain,AN_LH_AVLP_1,NA,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AN_multi_77,NA,"acetylcholine, serotonin-negative","Jones et al., 2022",immuno,5
adult_drosophila_melanogaster,midbrain,AN_multi_79,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AN_multi_80,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AN_multi_81,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AN_multi_84,NA,acetylcholine,Jones et al. 2023,"immuno, intersection",5
adult_drosophila_melanogaster,midbrain,AOTU007,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU008a,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU008b,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU008c,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU008d,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"AOTU018,AOTU031",AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU019,putative_primary,gaba,"Collie et al.,",FISH,3
adult_drosophila_melanogaster,midbrain,AOTU024,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
