species,region,cell_type,hemilineage,neurotransmitter_verified,neurotransmitter_verified_source,neurotransmitter_verified_evidence,neurotransmitter_verified_confidence
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)a",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)a",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)b",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)b",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)c",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)c",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)d",ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_adPNm4,M_adPNm5)d",ALad1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(M_lPNm12,M_lPNm13)a",ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(M_lPNm12,M_lPNm13)b",ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,"(PLP191,PLP192)a",VPNp1_medial,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(PLP191,PLP192)b",VPNp1_medial,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(PS082,PS084)a",AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(PS082,PS084)b",AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SLP402,SMP426)a",CLp1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SLP402,SMP426)b",CLp1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SLP402,SMP426)c",CLp1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SMP206,SLP327)a",VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"(SMP206,SLP327)b",VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,5-HTPMPD01,DM4_dorsal,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,midbrain,5-HTPMPV01,putative_primary,serotonin,"Sitaraman et al., 2008",immuno,5
adult_drosophila_melanogaster,optic_transfer,5-HTPMPV03,putative_primary,serotonin,Pooryasin and Fiala 2015,immuno,5
adult_drosophila_melanogaster,midbrain,AC neuron,NA,serotonin,"Shih and Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,ALv1_23,ALv1,gaba,Liang et al. 2013,immuno,5
adult_drosophila_melanogaster,neck_connective,AN00A002,00A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN00A006,00A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN00A009,00A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN01A001,01A,acetylcholine,Lacin et al. 2019,EASI-FISH,4
adult_drosophila_melanogaster,neck_connective,AN01A006,01A,acetylcholine,Lacin et al. 2019,EASI-FISH,4
adult_drosophila_melanogaster,neck_connective,AN01A014,01A,acetylcholine,Lacin et al. 2019,EASI-FISH,4
adult_drosophila_melanogaster,neck_connective,AN01A021,01A,acetylcholine,Lacin et al. 2019,EASI-FISH,4
adult_drosophila_melanogaster,neck_connective,AN01A033,01A,acetylcholine,Lacin et al. 2019,EASI-FISH,4
adult_drosophila_melanogaster,neck_connective,AN01A049,01A,acetylcholine,Lacin et al. 2019,EASI-FISH,4
adult_drosophila_melanogaster,neck_connective,AN01B002,01B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN01B005,01B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN01B011,01B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN01B014,01B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN01B018,01B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A001,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A002,02A,glutamate,"Lacin et al., 2019",FISH,3
