bodyid,pre,type,species,region,hemilineage,neurotransmitter_verified,neurotransmitter_verified_source,neurotransmitter_verified_evidence,neurotransmitter_verified_confidence
297230760,1660,5-HTPMPD01,adult_drosophila_melanogaster,central_brain,DM4_dorsal,serotonin,"Sitaraman et al., 2008",immuno,5
297908801,1249,5-HTPMPD01,adult_drosophila_melanogaster,central_brain,DM4_dorsal,serotonin,"Sitaraman et al., 2008",immuno,5
541697718,2335,5-HTPMPV01,adult_drosophila_melanogaster,central_brain,putative_primary,serotonin,"Sitaraman et al., 2008",immuno,5
5813078603,1037,5-HTPMPV01,adult_drosophila_melanogaster,central_brain,putative_primary,serotonin,"Sitaraman et al., 2008",immuno,5
669325882,5728,5-HTPMPV03,adult_drosophila_melanogaster,central_brain,putative_primary,serotonin,Pooryasin and Fiala 2015,immuno,5
791527493,4679,5-HTPMPV03,adult_drosophila_melanogaster,central_brain,putative_primary,serotonin,Pooryasin and Fiala 2015,immuno,5
1355115431,698,AOTU005,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1110221199,423,AOTU006,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
769195048,362,AOTU007,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
861241941,296,AOTU007,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
861928967,332,AOTU007,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
862947261,324,AOTU007,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1041395080,216,AOTU007,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
