"clk_name","clk_id","hemisphere"

AstC immunoreactivity was previously localized to DN1p, DN3, and LPN    Diaz et al., 2019 (immuno); Reinhard et al., 2023 (immuno)

AstC is additionally expressed in DN2, which were labeled using an antibody against the clock protein Vrille (VRI).

Proctolin is a new clock-related neuropeptide which is expressed in one DN1p (open arrowhead) and two DN2 (filled arrowheads). 
 
Which 2 are 5th?


"DN1a","720575940624155416","right"
"DN1a","720575940626755673","right"
"DN1a","720575940617864961","left"
"DN1a","720575940617226641","left"

"DN1pA","720575940623036766","right"
"DN1pA","720575940622228999","right"
"DN1pA","720575940624899767","right"
"DN1pA","720575940633976403","right" 
"DN1pB","720575940621638593","right"
"DN1pB","720575940628358931","right"
"DN1pA","720575940622398836","left"
"DN1pA","720575940628692040","left"
"DN1pA","720575940620561713","left"
"DN1pA","720575940644609440","left"
"DN1pB","720575940628257874","left"
"DN1pB","720575940645975063","left"

"DN1pC","720575940608161116","right"
"DN1pC","720575940632575584","right"
"DN1pD","720575940611585459","right"
"DN1pD","720575940631242799","right"
"DN1pD","720575940613262259","right"
"DN1pD","720575940612153842","right"
"DN1pE","720575940612391464","right"
"DN1pE","720575940631863085","right"
"DN1pC","720575940620116091","left"
"DN1pC","720575940643074976","left" 
"DN1pD","720575940620287067","left"
"DN1pD","720575940631583519","left"
"DN1pD","720575940616201309","left"
"DN1pD","720575940621861133","left"
"DN1pE","720575940612734515","left"
"DN1pE","720575940615330098","left"


"DN2","720575940643843620","right"
"DN2","720575940629218811","right"
"DN2","720575940623036254","left"


"APDN3","720575940615228723","right"
"APDN3","720575940629399370","right"
"APDN3","720575940621268651","right"
"APDN3","720575940640278387","right"
"APDN3","720575940637041263","right"
"APDN3","720575940620028096","right"
"APDN3","720575940634473497","left"
"APDN3","720575940614517032","left"
"APDN3","720575940624920871","left"
"APDN3","720575940626537468","left" 
"APDN3","720575940613096089","left"
"APDN3","720575940653095670","left"


"l-CPDN3","720575940634069148","right"
"l-CPDN3","720575940623286271","left"


"s-LNv","720575940628527095","right"
"s-LNv","720575940609174392","right"
"s-LNv","720575940610478531","right"
