fafb_type	hemibrain_type	hemibrain_type_fafb	fafb_type_nt	fafb_type_confidence	hemibrain_type_nt	hemibrain_type_confidence	known_nt	known_nt_source	FBbt_id	FBbt_name	FBbt_nts	notes	FBbt_definition
WEDPN4	WEDPN4		gaba	0.96	gaba	0.8	gaba	Dolan et al. 2019	FBbt:00049457	adult wedge projection neuron 4	"[cholinergic neuron,GABAergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0246460""]},""value"":""Adult neuron that has dendritic arborizations in the wedge and lateral horn and also has an axon in the lateral horn, extending into a neighboring region (Dolan et al., 2019; Bates et al., 2020). It is a secondary neuron that develops from the WEDa2 (BAlp3) neuroblast (Bates et al., 2020). There are seven of these neurons per hemisphere and they are cholinergic and GABAergic (Dolan et al., 2019).""}]"
									FBbt:00003728	T2 neuron	"[cholinergic neuron,GABAergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0220286"",""FlyBase:FBrf0212356"",""FlyBase:FBrf0222324"",""FlyBase:FBrf0049410"",""FlyBase:FBrf0243899""]},""value"":""T neuron wwith its soma posteriorly adjacent to the gap between the medulla and lobula plate and a cell body fiber that projects along the proximal surface of the medulla before branching in the second optic chiasm (Fischbach and Dittrich, 1989; Shinomiya et al., 2019). One branch projects into a medulla column, where it forms a bushy, fine, arborization in medulla layer M9 and then projects through the rest of the medulla column, forming fine arborizations in M1, M2 and M5. The other branch forms a terminal arborization in lobula layer 3 that is much wider than a single column and has bleb-type terminal branches. It seems to be capable of cholinergic and GABAergic neurotransmission.""}]"
									FBbt:00003792	transmedullary neuron Tm4	"[cholinergic neuron,GABAergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0220286"",""FlyBase:FBrf0212356"",""FlyBase:FBrf0222324"",""FlyBase:FBrf0204652"",""FlyBase:FBrf0049410"",""FlyBase:FBrf0225094""]},""value"":""Transmedullary narrow field neuron that terminates in lobula layers 1, 2 and 4 with bleb-type arborizations, and with fine arborizations in layer 3. It displays fine arborizations in medulla layers M2, M3, M4 and M9, and has bleb-type arborizations in layers M2, M4, and M9 (Morante and Desplan, 2008; Fischbach and Dittrich, 1989). In the medulla, receives input from lamina monopolar neuron L2 and centrifugal neuron C3 (Takemura et al., 2013). In lobula layer 1, it outputs to T5 neurons (Shinomiya et al., 2014). It seems to be capable of both cholinergic and GABAergic neurotransmission.""}]"
									FBbt:00049341	adult lateral horn AV2b1 neuron	"[cholinergic neuron,GABAergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0249560"",""FlyBase:FBrf0242628"",""FlyBase:FBrf0246460""]},""value"":""Adult lateral horn output neuron that fasciculates with the AV2 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019). It is a secondary neuron that is part of the BLAv2 (VLPl2) dorsal hemilineage (Bates et al., 2020). It is GABAergic (Dolan et al., 2019) and cholinergic (Dolan et al., 2019; Bates et al., 2020). There are around four of these neurons per hemisphere (Schlegel et al., 2021).""}]"
LHAV7a1a		LHAV7a1_a	glutamate	0.75					FBbt:00049367	adult lateral horn AV7a1 neuron	"[cholinergic neuron,glutamatergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0249560"",""FlyBase:FBrf0242628"",""FlyBase:FBrf0246460""]},""value"":""Adult lateral horn output neuron that fasciculates with the AV7 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019). It is a secondary neuron that develops from the DAL1l (AOTUv2) neuroblast (Bates et al., 2020). They are cholinergic and glutamatergic (Dolan et al., 2019).""}]"
LHAV7a1b		LHAV7a1_b	glutamate	0.75					FBbt:00049367	adult lateral horn AV7a1 neuron	"[cholinergic neuron,glutamatergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0249560"",""FlyBase:FBrf0242628"",""FlyBase:FBrf0246460""]},""value"":""Adult lateral horn output neuron that fasciculates with the AV7 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019). It is a secondary neuron that develops from the DAL1l (AOTUv2) neuroblast (Bates et al., 2020). They are cholinergic and glutamatergic (Dolan et al., 2019).""}]"
LHAV7a1c		LHAV7a1_b	glutamate	0.75					FBbt:00049367	adult lateral horn AV7a1 neuron	"[cholinergic neuron,glutamatergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0249560"",""FlyBase:FBrf0242628"",""FlyBase:FBrf0246460""]},""value"":""Adult lateral horn output neuron that fasciculates with the AV7 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019). It is a secondary neuron that develops from the DAL1l (AOTUv2) neuroblast (Bates et al., 2020). They are cholinergic and glutamatergic (Dolan et al., 2019).""}]"
									FBbt:00003874	lobula columnar neuron LC4	"[cholinergic neuron,glutamatergic neuron]"		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0234700"",""FlyBase:FBrf0193607"",""FlyBase:FBrf0049410"",""FlyBase:FBrf0244935"",""FlyBase:FBrf0253297"",""FlyBase:FBrf0213690""]},""value"":""Lobula columnar neuron whose cell body is in an extended region of the lateral cell body rind (Wu et al., 2016). It has its main dendritic arbors in lobula layers 2 and 4 (Wu et al., 2016; Tanaka and Clark, 2022). Its arbors span approximately 40 optic columns, overlapping with other LC4 cells (Wu et al., 2016). It projects to an optic glomerulus in the PVLP that is medial to the one from LC12 and ventral to LPLC2 and LPLC1. There are an estimated 66 neurons of this type (Wu et al., 2016). It has been reported as being both glutamatergic (Raghu and Borst, 2011) and cholinergic (Davis et al., 2020).""},{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0234700"",""FlyBase:FBrf0193607"",""FlyBase:FBrf0049410"",""FlyBase:FBrf0244935"",""FlyBase:FBrf0253297"",""FlyBase:FBrf0213690""]},""value"":""Lobula columnar neuron whose cell body is in an extended region of the lateral cell body rind (Wu et al., 2016). It has its main dendritic arbors in lobula layers 2 and 4 (Wu et al., 2016; Tanaka and Clark, 2022). Its arbors span approximately 40 optic columns, overlapping with other LC4 cells (Wu et al., 2016). It projects to an optic glomerulus in the PVLP that is medial to the one from LC12 and ventral to LPLC2 and LPLC1 (Wu et al., 2016). There are an estimated 66 neurons of this type (Wu et al., 2016). It has been reported as being both glutamatergic (Raghu and Borst, 2011) and cholinergic (Davis et al., 2020).""}]"
MBON12	MBON12		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Aso et al., 2014"	FBbt:00111009	mushroom body output neuron 12	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0252547"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0238232"",""FlyBase:FBrf0248476""]},""value"":""A cholinergic neuron whose dendrites arborize in gamma lobe slice 2 and alpha' lobe slice 1 with axonal terminals found in the crepine and superior medial protocerebrum (Aso et al., 2014). There are 2 neurons of this type in each hemisphere (Aso et al., 2014; Li et al., 2020; Truman et al., 2023) and they are secondary FLAa2 (BAmas1) neurons (Truman et al., 2023). It is involved in multiple stages of reward and punishment memory (Yamazaki et al., 2018; Ichinose et al., 2021) and promotes post-learning sleep (Lei et al., 2022).""}]"
MBON13	MBON13		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Aso et al., 2014"	FBbt:00100239	mushroom body output neuron 13	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0245835""]},""value"":""Cholinergic neuron whose cell body is located in the dorsal-most area of the subesophageal ganglion, ventromedial to the antennal lobe of the adult brain (Tanaka et al., 2008; Aso et al., 2020). The cell body fiber ascends through the median bundle to the level of the gamma lobe before making a steep lateral turn and forming extensive axonal terminals in the crepine, superior medial protocerebrum and a few terminals in the superior intermediate protocerebrum (Tanaka et al., 2008; Aso et al., 2014). The main fiber further extends towards the vertical lobe and forms extensive dendrites in all strata of the alpha' lobe slice 2 (Tanaka et al., 2008). There is one of these cells per hemisphere (Aso et al., 2014; Li et al., 2020). It is a secondary FLAa2 (BAmas1) neuron (Truman et al., 2023). It plays an important role in retrieval of alcohol-associated memory (Scaplen et al., 2020).""}]"
