FBbt_id	FBbt_name	gene_id	gene_name	definition
FBbt:00001585	EW3 neuron	FBgn0013767	Crz	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0144815"",""FlyBase:FBrf0138252"",""FlyBase:FBrf0100717""]},""value"":""Peptidergic interneuron of embryonic/larval abdominal segment. It differentiates directly from the third GMC in the 7-3 lineage (GMC 7-3c).""}']"
FBbt:00003761	Pdf neuron	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121""]},""value"":""Neuron that expresses Pigment-dispersing factor, Pdf (FBgn0023178).""}']"
FBbt:00003762	LN Pdf neuron	FBgn0003068	per	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121"",""FlyBase:FBrf0235590""]},""value"":""Lateral period-expressing neuron (LN) of the adult brain that also expresses Pigment-dispersing factor (Helfrich-Forster, 1997). These neurons also express cryptochrome and Rhodopsin 7, which allow them to respond to high frequency (blue) visible light (Ni et al., 2017).""}']"
FBbt:00003762	LN Pdf neuron	FBgn0014396	tim	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121"",""FlyBase:FBrf0235590""]},""value"":""Lateral period-expressing neuron (LN) of the adult brain that also expresses Pigment-dispersing factor (Helfrich-Forster, 1997). These neurons also express cryptochrome and Rhodopsin 7, which allow them to respond to high frequency (blue) visible light (Ni et al., 2017).""}']"
FBbt:00003762	LN Pdf neuron	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121"",""FlyBase:FBrf0235590""]},""value"":""Lateral period-expressing neuron (LN) of the adult brain that also expresses Pigment-dispersing factor (Helfrich-Forster, 1997). These neurons also express cryptochrome and Rhodopsin 7, which allow them to respond to high frequency (blue) visible light (Ni et al., 2017).""}']"
FBbt:00003762	LN Pdf neuron	FBgn0025680	cry	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121"",""FlyBase:FBrf0235590""]},""value"":""Lateral period-expressing neuron (LN) of the adult brain that also expresses Pigment-dispersing factor (Helfrich-Forster, 1997). These neurons also express cryptochrome and Rhodopsin 7, which allow them to respond to high frequency (blue) visible light (Ni et al., 2017).""}']"
FBbt:00003762	LN Pdf neuron	FBgn0036260	Rh7	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121"",""FlyBase:FBrf0235590""]},""value"":""Lateral period-expressing neuron (LN) of the adult brain that also expresses Pigment-dispersing factor (Helfrich-Forster, 1997). These neurons also express cryptochrome and Rhodopsin 7, which allow them to respond to high frequency (blue) visible light (Ni et al., 2017).""}']"
FBbt:00003763	l-LNv neuron	FBgn0003068	per	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0134807"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0151380"",""FlyBase:FBrf0101921"",""FlyBase:FBrf0183981""]},""value"":""Neuron of the period-expressing LNv cluster of the adult brain, with a large cell body and generally located more dorsally than the s-LNv neurons (Helfrich-Forster, 1998). There are four of these cells present in each cluster, all of which express Pdf (FBgn0023178). These neurons send dendrites through the posterior optic commissure to the contralateral optic lobe, where a few short fibers terminate in the accessory medulla, but most arborize extensively in the medulla itself (Helfrich-Forster, 2005; Helfrich-Forster et al., 2007). These arborizations in the medulla are associated with varicosities. These cells also project to the ipsilateral (adjacent) accessory medulla and its ventral extension, where they arborize extensively.""}']"
FBbt:00003763	l-LNv neuron	FBgn0014396	tim	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0134807"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0151380"",""FlyBase:FBrf0101921"",""FlyBase:FBrf0183981""]},""value"":""Neuron of the period-expressing LNv cluster of the adult brain, with a large cell body and generally located more dorsally than the s-LNv neurons (Helfrich-Forster, 1998). There are four of these cells present in each cluster, all of which express Pdf (FBgn0023178). These neurons send dendrites through the posterior optic commissure to the contralateral optic lobe, where a few short fibers terminate in the accessory medulla, but most arborize extensively in the medulla itself (Helfrich-Forster, 2005; Helfrich-Forster et al., 2007). These arborizations in the medulla are associated with varicosities. These cells also project to the ipsilateral (adjacent) accessory medulla and its ventral extension, where they arborize extensively.""}']"
FBbt:00003763	l-LNv neuron	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0134807"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0151380"",""FlyBase:FBrf0101921"",""FlyBase:FBrf0183981""]},""value"":""Neuron of the period-expressing LNv cluster of the adult brain, with a large cell body and generally located more dorsally than the s-LNv neurons (Helfrich-Forster, 1998). There are four of these cells present in each cluster, all of which express Pdf (FBgn0023178). These neurons send dendrites through the posterior optic commissure to the contralateral optic lobe, where a few short fibers terminate in the accessory medulla, but most arborize extensively in the medulla itself (Helfrich-Forster, 2005; Helfrich-Forster et al., 2007). These arborizations in the medulla are associated with varicosities. These cells also project to the ipsilateral (adjacent) accessory medulla and its ventral extension, where they arborize extensively.""}']"
