cell_type,hemibrain_type,morphology_group,hemilineage,region,in_fafb,in_hemibrain,in_banc,in_l1
AN_FLA_GNG_2,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_76,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_SAD_27,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_SMP_1,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_VES_GNG_6,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_107,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_128,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_23,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN00A027,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A033,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A017,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A024,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A009,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A043,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A040,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A044,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A047,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A057,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A056,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A064,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A010,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A019,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A012,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A049,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A025,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A030,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
